ChEMBL ID	Name	Synonyms	Type	Max Phase	Molecular Weight	Targets	Bioactivities	AlogP	Polar Surface Area	HBA	HBD	#RO5 Violations	#Rotatable Bonds	Passes Ro3	QED Weighted	CX Acidic pKa	CX Basic pKa	CX LogP	CX LogD	Aromatic Rings	Structure Type	Inorganic Flag	Heavy Atoms	HBA (Lipinski)	HBD (Lipinski)	#RO5 Violations (Lipinski)	Molecular Weight (Monoisotopic)	Molecular Species	Molecular Formula	Smiles
CHEMBL163297		4-Propenyl-Phenol	Small molecule	0	134.18	1	2	2.43	20.23	1	1	0	1	Y	0.62	9.54	None	2.79	2.79	1	MOL	-1	10	1	1	0	134.0732	NEUTRAL	C9H10O	C/C=C/c1ccc(O)cc1
CHEMBL2180641		3-[2-[Hexyl(Phenethyl)Amino]Ethyl]Phenol	Small molecule	0	325.5	7	12	5.06	23.47	2	1	1	11	N	0.58	9.72	10.63	5.37	3.37	2	MOL	-1	24	2	1	1	325.2406	BASE	C22H31NO	CCCCCCN(CCc1ccccc1)CCc1cccc(O)c1
CHEMBL152295		4-Butyl-Phenol|4-Butylphenol|4-N-Butylphenol|4-N-Ethylphenol	Small molecule	0	150.22	4	7	2.73	20.23	1	1	0	3	Y	0.7	10.31	None	3.52	3.52	1	MOL	-1	11	1	1	0	150.1045	NEUTRAL	C10H14O	CCCCc1ccc(O)cc1
CHEMBL153062	4-NONYLPHENOL	4-Nonyl-Phenol|4-Nonylphenol|Nonylphenol	Small molecule	0	220.36	141	853	4.69	20.23	1	1	0	8	N	0.63	10.31	None	5.74	5.74	1	MOL	-1	16	1	1	0	220.1827	NEUTRAL	C15H24O	CCCCCCCCCc1ccc(O)cc1
CHEMBL473310		2-((Dodecylamino)Methyl)Phenol	Small molecule	0	291.48	4	4	5.4	32.26	2	2	1	13	N	0.48	8.1	10.68	4.95	4.25	1	MOL	-1	21	2	2	1	291.2562	BASE	C19H33NO	CCCCCCCCCCCCNCc1ccccc1O
CHEMBL1388	MONOBENZONE	Benoquin|MONOBENZONE|MONOBENZYL ETHER OF HYDROQUINONE|Monobenzone|NSC-2132|P-(BENZYLOXY)PHENOL|P-BENZYLOXYPHENOL	Small molecule	4	200.24	116	312	2.97	29.46	2	1	0	3	Y	0.82	9.91	None	3.24	3.24	2	MOL	0	15	2	1	0	200.0837	NEUTRAL	C13H12O2	Oc1ccc(OCc2ccccc2)cc1
CHEMBL1782219		2-(Dodecylsulfinyl)Phenol	Small molecule	0	310.5	1	2	5.42	37.3	2	1	1	12	N	0.52	7.27	None	6.09	5.72	1	MOL	-1	21	2	1	1	310.1967	NEUTRAL	C18H30O2S	CCCCCCCCCCCC[S+]([O-])c1ccccc1O
CHEMBL459832		3-(1'-Hydroxypentyl)Phenol	Small molecule	0	180.25	2	2	2.62	40.46	2	2	0	4	N	0.75	9.37	None	2.73	2.73	1	MOL	-1	13	2	2	0	180.115	NEUTRAL	C11H16O2	CCCCC(O)c1cccc(O)c1
CHEMBL473118		3-[(3																												
CHEMBL450605		3-(2-Thienyl)Phenol	Small molecule	0	176.24	2	2	3.12	20.23	2	1	0	1	N	0.71	9.69	None	3.09	3.09	2	MOL	-1	12	1	1	0	176.0296	NEUTRAL	C10H8OS	Oc1cccc(-c2cccs2)c1
CHEMBL470680	CARDANOL	5-{8(Z)																												
CHEMBL138061		4																												
CHEMBL2326881		4-(Trifluoromethoxy)Phenol	Small molecule	0	178.11	1	1	2.29	29.46	2	1	0	1	Y	0.71	9.62	None	3.1	3.1	1	MOL	-1	12	2	1	0	178.0242	NEUTRAL	C7H5F3O2	Oc1ccc(OC(F)(F)F)cc1
CHEMBL202132	PARAHYDROXYBENZYL ALCOHOL	4-(Hydroxymethyl)Phenol|4-Hydroxybenzyl Alcohol|P-Hydroxybenzyl Alcohol|Parahydroxybenzyl Alcohol	Small molecule	0	124.14	12	23	0.88	40.46	2	2	0	1	Y	0.58	9.48	None	0.9	0.9	1	MOL	-1	9	2	2	0	124.0524	NEUTRAL	C7H8O2	OCc1ccc(O)cc1
CHEMBL2313660		4-(2																												
CHEMBL34689		3-Pentadecyl Phenol|3-Pentadecyl-Phenol|3-Pentadecylphenol|5-Pentadecylphenol	Small molecule	0	304.52	19	20	7.03	20.23	1	1	1	14	N	0.37	10.11	None	8.41	8.41	1	MOL	-1	22	1	1	1	304.2766	NEUTRAL	C21H36O	CCCCCCCCCCCCCCCc1cccc(O)c1
CHEMBL1091627		4-((4-Methoxyphenylimino)Methyl)Phenol	Small molecule	0	227.26	2	4	3.15	41.82	3	1	0	3	N	0.82	8.68	3.14	3.39	3.36	2	MOL	-1	17	3	1	0	227.0946	NEUTRAL	C14H13NO2	COc1ccc(/N=C/c2ccc(O)cc2)cc1
CHEMBL1766167		4-(3-Chlorobenzyloxy)Phenol	Small molecule	0	234.68	3	6	3.62	29.46	2	1	0	3	N	0.88	9.91	None	3.84	3.84	2	MOL	-1	16	2	1	0	234.0448	NEUTRAL	C13H11ClO2	Oc1ccc(OCc2cccc(Cl)c2)cc1
CHEMBL1766159		3																												
CHEMBL33202		3-Decyl-Phenol	Small molecule	0	234.38	7	7	5.08	20.23	1	1	1	9	N	0.59	10.11	None	6.18	6.18	1	MOL	-1	17	1	1	1	234.1984	NEUTRAL	C16H26O	CCCCCCCCCCc1cccc(O)c1
CHEMBL2064670		2-(3-Hydroxybenzylideneamino)Phenol	Small molecule	0	213.24	4	6	2.85	52.82	3	2	0	2	Y	0.75	7.95	1.05	3.24	3.13	2	MOL	-1	16	3	2	0	213.079	NEUTRAL	C13H11NO2	Oc1cccc(/C=N/c2ccccc2O)c1
CHEMBL1398657	PHENOLSULFONIC ACID	4-PHENOLSULFONIC ACID|NSC-227908|P-HYDROXYBENZENESULFONIC ACID|P-PHENOLSULFONATE|P-PHENOLSULFONIC ACID|PARA-PHENOLSULFONIC ACID|PHENOL-4-SULFONIC ACID|PHENOLSULFONIC ACID|SULFOCARBOLIC ACID	Small molecule	0	174.18	2	5	0.64	74.6	3	2	0	1	N	0.61	-2.59	None	0.85	-1.54	1	MOL	0	11	4	2	0	173.9987	ACID	C6H6O4S	O=S(=O)(O)c1ccc(O)cc1
CHEMBL376316		4-(Dodecylamino)Phenol|P-Dodecylaminophenol	Small molecule	0	277.45	20	125	5.73	32.26	2	2	1	12	N	0.38	10.36	6.19	6.02	6	1	MOL	-1	20	2	2	1	277.2406	NEUTRAL	C18H31NO	CCCCCCCCCCCCNc1ccc(O)cc1
CHEMBL185651		3-Bromo-Phenol|3-Bromophenol	Small molecule	0	173.01	6	10	2.15	20.23	1	1	0	0	Y	0.64	8.88	None	2.44	2.42	1	MOL	-1	8	1	1	0	171.9524	NEUTRAL	C6H5BrO	Oc1cccc(Br)c1
CHEMBL205927	2-((PHENYLIMINO)METHYL)PHENOL	GBR-11840	Small molecule	0	197.24	7	10	3.14	32.59	2	1	0	2	N	0.74	8.83	2.04	3.54	3.53	2	MOL	-1	15	2	1	0	197.0841	NEUTRAL	C13H11NO	Oc1ccccc1/C=N/c1ccccc1
CHEMBL201858	4-(BENZYLIDENEAMINO)PHENOL	4-(Benzylideneamino)Phenol	Small molecule	0	197.24	6	19	3.14	32.59	2	1	0	2	N	0.74	8.29	3.15	3.54	3.49	2	MOL	-1	15	2	1	0	197.0841	NEUTRAL	C13H11NO	Oc1ccc(/N=C/c2ccccc2)cc1
CHEMBL2180640		3-[2-[Butyl(Phenethyl)Amino]Ethyl]Phenol	Small molecule	0	297.44	7	10	4.28	23.47	2	1	0	9	N	0.75	9.72	10.63	4.48	2.48	2	MOL	-1	22	2	1	0	297.2093	BASE	C20H27NO	CCCCN(CCc1ccccc1)CCc1cccc(O)c1
CHEMBL2064679		3-((Phenylimino)Methyl)Phenol	Small molecule	0	197.24	1	1	3.14	32.59	2	1	0	2	N	0.74	8.22	2.37	3.54	3.48	2	MOL	-1	15	2	1	0	197.0841	NEUTRAL	C13H11NO	Oc1cccc(/C=N/c2ccccc2)c1
CHEMBL305981		4-Trifluoromethanesulfonyl-Phenol	Small molecule	0	226.18	1	2	1.69	54.37	3	1	0	1	Y	0.79	7.31	None	2.62	2.27	1	MOL	-1	14	3	1	0	225.9911	NEUTRAL	C7H5F3O3S	O=S(=O)(c1ccc(O)cc1)C(F)(F)F
CHEMBL30094		2																												
CHEMBL504414		4-(1																												
CHEMBL1230722		4-((Dimesitylboryl)(2																												
CHEMBL2064672		2-(3-Methoxybenzylideneamino)Phenol	Small molecule	0	227.26	1	2	3.15	41.82	3	1	0	3	N	0.82	8.28	1.04	3.39	3.33	2	MOL	-1	17	3	1	0	227.0946	NEUTRAL	C14H13NO2	COc1cccc(/C=N/c2ccccc2O)c1
CHEMBL223906		2-(Trifluoromethyl)Phenol	Small molecule	0	162.11	1	2	2.41	20.23	1	1	0	0	Y	0.62	8.36	None	2.55	2.5	1	MOL	-1	11	1	1	0	162.0292	NEUTRAL	C7H5F3O	Oc1ccccc1C(F)(F)F
CHEMBL1814627		4-((Dimesitylboryl)(Methyl)Amino)Phenol	Small molecule	0	371.33	2	2	None	None	None	None	None	None	None	None	None	None	None	None	None	MOL	-1	None	None	None	None	371.242	None	C25H30BNO	Cc1cc(C)c(B(c2c(C)cc(C)cc2C)N(C)c2ccc(O)cc2)c(C)c1
CHEMBL254873		3-(1-Aminocyclohexyl)Phenol	Small molecule	0	191.27	1	2	2.51	46.25	2	2	0	1	Y	0.72	8.99	9.88	1.8	0.56	1	MOL	-1	14	2	3	0	191.131	BASE	C12H17NO	NC1(c2cccc(O)c2)CCCCC1
CHEMBL1766168		4-(3																												
CHEMBL2064680		3-((P-Tolylimino)Methyl)Phenol	Small molecule	0	211.26	1	1	3.45	32.59	2	1	0	2	N	0.76	8.22	2.73	4.06	4	2	MOL	-1	16	2	1	0	211.0997	NEUTRAL	C14H13NO	Cc1ccc(/N=C/c2cccc(O)c2)cc1
CHEMBL225343		2-(Methylthio)Phenol	Small molecule	0	140.21	1	2	2.11	20.23	2	1	0	1	Y	0.6	9.22	None	2.3	2.29	1	MOL	-1	9	1	1	0	140.0296	NEUTRAL	C7H8OS	CSc1ccccc1O
CHEMBL104353		4-Nitroso-Phenol	Small molecule	0	123.11	1	7	1.79	49.66	3	1	0	1	Y	0.58	8.36	2.21	1.75	1.7	1	MOL	-1	9	3	1	0	123.032	NEUTRAL	C6H5NO2	O=Nc1ccc(O)cc1
CHEMBL2064682		4-((P-Tolylimino)Methyl)Phenol	Small molecule	0	211.26	1	1	3.45	32.59	2	1	0	2	N	0.76	8.68	3.06	4.06	4.04	2	MOL	-1	16	2	1	0	211.0997	NEUTRAL	C14H13NO	Cc1ccc(/N=C/c2ccc(O)cc2)cc1
CHEMBL1795389		2-(4-Methylbenzyl)Phenol	Small molecule	0	198.26	1	1	3.29	20.23	1	1	0	2	N	0.78	10.09	None	4.27	4.27	2	MOL	-1	15	1	1	0	198.1045	NEUTRAL	C14H14O	Cc1ccc(Cc2ccccc2O)cc1
CHEMBL349881	4-VINYLPHENOL	4-Vinyl-Phenol	Small molecule	0	120.15	7	11	2.04	20.23	1	1	0	1	Y	0.6	9.56	None	2.41	2.4	1	MOL	-1	9	1	1	0	120.0575	NEUTRAL	C8H8O	C=Cc1ccc(O)cc1
CHEMBL488414		4-(3																												
CHEMBL2236144	3-(BENZYLIDENEAMINO)PHENOL		Small molecule	0	197.24	4	8	3.14	32.59	2	1	0	2	N	0.74	8.51	2.26	3.54	3.51	2	MOL	-1	15	2	1	0	197.0841	NEUTRAL	C13H11NO	Oc1cccc(/N=C/c2ccccc2)c1
CHEMBL13888	3-NITRO-PHENOL	SR-1C3	Small molecule	0	139.11	17	44	1.3	63.37	3	1	0	1	N	0.47	7.89	None	1.61	1.49	1	MOL	-1	10	4	1	0	139.0269	NEUTRAL	C6H5NO3	O=[N+]([O-])c1cccc(O)c1
CHEMBL476921	GINKGOLIC ACID 13:0	6-Tridecyl Phenol	Small molecule	0	320.47	19	30	5.94	57.53	2	2	1	13	N	0.44	2.64	None	7.83	4.32	1	MOL	-1	23	3	2	1	320.2351	ACID	C20H32O3	CCCCCCCCCCCCCc1cccc(O)c1C(=O)O
CHEMBL1814630		4-((Bis(2																												
CHEMBL2064676		2-((4-Hydroxyphenylimino)Methyl)Phenol	Small molecule	0	213.24	7	15	2.85	52.82	3	2	0	2	Y	0.75	8.18	2.52	3.24	3.17	2	MOL	-1	16	3	2	0	213.079	NEUTRAL	C13H11NO2	Oc1ccc(/N=C/c2ccccc2O)cc1
CHEMBL1276286		4-(3																												
CHEMBL109663		2																												
CHEMBL1160714	PRENALTEROL	PRENALTEROL|Phenol metabolite	Small molecule	0	225.29	13	26	1.13	61.72	4	3	0	6	N	0.68	10.11	9.47	0.8	-0.92	1	MOL	0	16	4	3	0	225.1365	BASE	C12H19NO3	CC(C)NC[C@H](O)COc1ccc(O)cc1
CHEMBL83527	PTEROSTILBENE	4-(3																												
CHEMBL444472	PHENOL A		Small molecule	0	196.25	4	4	1.89	60.69	3	3	0	2	N	0.68	9.64	None	2.18	2.18	1	MOL	-1	14	3	3	0	196.1099	NEUTRAL	C11H16O3	Cc1c(O)cc(O)cc1[C@H](C)[C@@H](C)O
CHEMBL57877		3-(Trifluoromethyl)Phenol|3-Trifluoromethyl-Phenol	Small molecule	0	162.11	3	6	2.41	20.23	1	1	0	0	Y	0.62	9.1	None	2.55	2.54	1	MOL	-1	11	1	1	0	162.0292	NEUTRAL	C7H5F3O	Oc1cccc(C(F)(F)F)c1
CHEMBL444161		4-(4-Methoxyphenoxy)Phenol	Small molecule	0	216.24	1	3	3.19	38.69	3	1	0	3	N	0.86	9.7	None	3.01	3.01	2	MOL	-1	16	3	1	0	216.0786	NEUTRAL	C13H12O3	COc1ccc(Oc2ccc(O)cc2)cc1
CHEMBL31340		4-Hexadecylamino-Phenol	Small molecule	0	333.56	2	7	7.29	32.26	2	2	1	16	N	0.25	10.36	6.19	7.8	7.77	1	MOL	-1	24	2	2	1	333.3032	NEUTRAL	C22H39NO	CCCCCCCCCCCCCCCCNc1ccc(O)cc1
CHEMBL281223		2-Methylamino-Phenol	Small molecule	0	123.15	1	1	1.43	32.26	2	2	0	1	Y	0.55	10.29	5.17	1.14	1.14	1	MOL	-1	9	2	2	0	123.0684	NEUTRAL	C7H9NO	CNc1ccccc1O
CHEMBL153388		4-N-Amylphenol|4-Pentyl-Phenol|4-Pentylphenol	Small molecule	0	164.25	4	7	3.12	20.23	1	1	0	4	N	0.68	10.31	None	3.96	3.96	1	MOL	-1	12	1	1	0	164.1201	NEUTRAL	C11H16O	CCCCCc1ccc(O)cc1
CHEMBL1797960		3																												
CHEMBL66288		4-Trifluoromethanesulfinyl-Phenol	Small molecule	0	210.18	1	2	2.02	37.3	2	1	0	1	Y	0.77	7.98	None	2.51	2.41	1	MOL	-1	13	2	1	0	209.9962	NEUTRAL	C7H5F3O2S	[O-][S+](c1ccc(O)cc1)C(F)(F)F
CHEMBL29799		2																												
CHEMBL470127		3-[10'(Z)-Heptadecenyl]Phenol	Small molecule	0	330.56	8	9	7.58	20.23	1	1	1	15	N	0.26	10.11	None	8.93	8.93	1	MOL	-1	24	1	1	1	330.2923	NEUTRAL	C23H38O	CCCCCC/C=C\CCCCCCCCCc1cccc(O)c1
CHEMBL526	PROPOFOL	DISOPROFOL|Diprivan|Disoprivan|FRESOFOL|ICI 35																												
CHEMBL467374		4-(4-Butoxyphenoxy)Phenol	Small molecule	0	258.32	1	2	4.36	38.69	3	1	0	6	N	0.78	9.7	None	4.34	4.33	2	MOL	-1	19	3	1	0	258.1256	NEUTRAL	C16H18O3	CCCCOc1ccc(Oc2ccc(O)cc2)cc1
CHEMBL455078		4-(4-Ethoxyphenoxy)Phenol	Small molecule	0	230.26	1	3	3.58	38.69	3	1	0	4	N	0.87	9.7	None	3.37	3.37	2	MOL	-1	17	3	1	0	230.0943	NEUTRAL	C14H14O3	CCOc1ccc(Oc2ccc(O)cc2)cc1
CHEMBL368128		4-Thiocyanato-Phenol	Small molecule	0	151.19	2	2	1.97	44.02	3	1	0	1	Y	0.49	8.5	None	1.97	1.93	1	MOL	-1	10	2	1	0	151.0092	NEUTRAL	C7H5NOS	N#CSc1ccc(O)cc1
CHEMBL122649		2-Benzyl-Phenol	Small molecule	0	184.24	3	3	2.98	20.23	1	1	0	2	Y	0.76	10.09	None	3.76	3.76	2	MOL	-1	14	1	1	0	184.0888	NEUTRAL	C13H12O	Oc1ccccc1Cc1ccccc1
CHEMBL465874	PHENOL A ACID	Phenol A Acid	Small molecule	0	240.25	1	1	1.59	97.99	4	4	0	3	N	0.64	1.76	None	3.14	-0.39	1	MOL	-1	17	5	4	0	240.0998	ACID	C12H16O5	Cc1c([C@H](C)[C@@H](C)O)cc(O)c(C(=O)O)c1O
CHEMBL111140		2																												
CHEMBL12822		4-Trifluoromethanesulfonylmethanesulfonyl-Phenol	Small molecule	0	304.27	1	1	1.06	88.51	5	1	0	3	N	0.9	7.53	None	1.71	1.47	1	MOL	-1	18	5	1	0	303.9687	NEUTRAL	C8H7F3O5S2	O=S(=O)(CS(=O)(=O)C(F)(F)F)c1ccc(O)cc1
CHEMBL393703		3-(2																												
CHEMBL109774		2																												
CHEMBL1797950		4-(Amino(P-Tolyl)Methyl)Phenol	Small molecule	0	213.28	1	3	2.75	46.25	2	2	0	2	Y	0.81	9.59	8.77	2.73	1.62	2	MOL	-1	16	2	3	0	213.1154	BASE	C14H15NO	Cc1ccc(C(N)c2ccc(O)cc2)cc1
CHEMBL109956		2																												
CHEMBL2227727	TYLOPHORINE 2																													
CHEMBL457077	SALVIANOLIC ACID A	DAN PHENOLIC ACID A|SALVIANOLIC ACID A	Small molecule	1	494.45	18	31	3.34	184.98	9	7	1	8	N	0.11	3.14	None	4.74	1.24	3	MOL	0	36	10	7	1	494.1213	ACID	C26H22O10	O=C(/C=C/c1ccc(O)c(O)c1/C=C/c1ccc(O)c(O)c1)O[C@H](Cc1ccc(O)c(O)c1)C(=O)O
CHEMBL567614		4-(3-Iodostyryl)Phenol	Small molecule	0	322.14	1	1	4.17	20.23	1	1	0	2	N	0.65	9	None	4.94	4.93	2	MOL	-1	16	1	1	0	321.9855	NEUTRAL	C14H11IO	Oc1ccc(/C=C/c2cccc(I)c2)cc1
CHEMBL277808		4-Isopropenyl-Phenol	Small molecule	0	134.18	1	1	2.43	20.23	1	1	0	1	Y	0.62	9.53	None	2.71	2.7	1	MOL	-1	10	1	1	0	134.0732	NEUTRAL	C9H10O	C=C(C)c1ccc(O)cc1
CHEMBL152248		4-[Methyl(Nitroso)Amino]Phenol	Small molecule	0	152.15	1	1	1.51	52.9	3	1	0	2	Y	0.52	9.06	None	1.39	1.38	1	MOL	-1	11	4	1	0	152.0586	NEUTRAL	C7H8N2O2	CN(N=O)c1ccc(O)cc1
CHEMBL398564		2																												
CHEMBL1188090		3-(2-(Phenethyl(Propyl)Amino)Ethyl)Phenol	Small molecule	0	283.42	8	15	3.89	23.47	2	1	0	8	N	0.79	9.71	10.62	4.05	2.06	2	MOL	-1	21	2	1	0	283.1936	BASE	C19H25NO	CCCN(CCc1ccccc1)CCc1cccc(O)c1
